choice_en	choice_fa	status	value	id	question	count
Somewhat Effective	تا حدی کارا	draft	1	321	45	1
No Opinion	نظری ندارم	draft	99	322	45	0
Harmful	مضر	draft	-2	323	45	0
Effective	کارا	draft	2	324	46	2
Somewhat Effective	تا حدی کارا	draft	1	325	46	2
No Opinion	نظری ندارم	draft	99	326	46	2
Harmful	مضر	draft	-2	327	46	0
Effective	کارا	draft	2	328	102	0
Somewhat Effective	تا حدی کارا	draft	1	329	102	0
No Opinion	نظری ندارم	draft	99	330	102	0
Harmful	مضر	draft	-2	331	102	0
Effective	کارا	draft	2	332	51	3
Somewhat Effective	تا حدی کارا	draft	1	333	51	1
Little Effect	کم تاثیر	draft	0	334	51	0
No Opinion	نظری ندارم	draft	99	335	51	0
Harmful	مضر	draft	-2	336	51	1
Effective	کارا	draft	2	337	53	0
Somewhat Effective	تا حدی کارا	draft	1	338	53	0
Little Effect	کم تاثیر	draft	0	339	53	0
No Opinion	نظری ندارم	draft	99	340	53	0
Harmful	مضر	draft	-2	341	53	0
Effective	کارا	draft	2	342	59	0
Somewhat Effective	تا حدی کارا	draft	1	343	59	0
Little Effect	کم تاثیر	draft	0	344	59	0
No Opinion	نظری ندارم	draft	99	345	59	0
Harmful	مضر	draft	-2	346	59	0
Effective	کارا	draft	2	347	61	0
Somewhat Effective	تا حدی کارا	draft	1	348	61	0
Little Effect	کم تاثیر	draft	0	349	61	0
No Opinion	نظری ندارم	draft	99	350	61	0
Harmful	مضر	draft	-2	351	61	0
Effective	کارا	draft	2	352	64	0
Somewhat Effective	تا حدی کارا	draft	1	353	64	0
Little Effect	کم تاثیر	draft	0	354	64	0
No Opinion	نظری ندارم	draft	99	355	64	0
Harmful	مضر	draft	-2	356	64	0
Effective	کارا	draft	2	357	65	0
Somewhat Effective	تا حدی کارا	draft	1	358	65	0
Little Effect	کم تاثیر	draft	0	359	65	0
No Opinion	نظری ندارم	draft	99	360	65	0
Harmful	مضر	draft	-2	361	65	0
Effective	کارا	draft	2	362	80	0
Somewhat Effective	تا حدی کارا	draft	1	363	80	0
Little Effect	کم تاثیر	draft	0	364	80	0
No Opinion	نظری ندارم	draft	99	365	80	0
Harmful	مضر	draft	-2	366	80	0
Effective	کارا	draft	2	367	82	0
Somewhat Effective	تا حدی کارا	draft	1	368	82	0
Little Effect	کم تاثیر	draft	0	369	82	0
No Opinion	نظری ندارم	draft	99	370	82	0
Harmful	مضر	draft	-2	371	82	0
Effective	کارا	draft	2	372	85	0
Somewhat Effective	تا حدی کارا	draft	1	373	85	0
Little Effect	کم تاثیر	draft	0	374	85	0
No Opinion	نظری ندارم	draft	99	375	85	0
Harmful	مضر	draft	-2	376	85	0
Effective	کارا	draft	2	377	89	0
Somewhat Effective	تا حدی کارا	draft	1	378	89	0
Little Effect	کم تاثیر	draft	0	379	89	0
No Opinion	نظری ندارم	draft	99	380	89	0
Harmful	مضر	draft	-2	381	89	0
