id	survey	question_en	max
97	44	Using the existing laws (by suspending the powers of the Velayat Faqih, the Guardian Council,and laws that violate human rights in the current criminal code)	1
98	44	Using the transitional constitution (previous question) to hold elections, forming a temporary parliament under the supervision of international organizations that undertakes the work of temporary legislation.	1
99	44	Formation of a committee by the transition leadership network to prepare and communicate the laws that should be suspended during the transition period before the collapse of the current power structure	1
100	44	Using the Independent Judicial Board (below) to prepare and communicate the list of laws that should be suspended during the transition period	1
101	44	Continuation of the administration of the country by the transition leadership network who selects working groups and organizational leaders during the transition period.	1
102	44	Using the transitional constitution (chosen from the previous question) to hold temporary presidential elections under the supervision of international institutions	1
103	44	Holding elections for the temporary judicial board and delegating the powers of the judiciary to this board during the transition period	1
104	44	Selection of the temporary judicial board by the transition leadership network	1
105	45	Uncertainty in positions and decisions is a sign of shallow thinking	1
106	45	Real experts often admit to being unsure about topics	1
107	45	Changing one's opinion in light of new information is a sign of weakness	1
108	45	When confident in our opinion we should down-weight evidence that contradicts our position	1
109	45	It is fine to have no definite opinion on many subjects	1
110	38	Economic pressures reduce people's ability to continue protest campaigns over longer periods	1
111	38	Economic hardship increases the risk of populist and undemocratic governments emerging after the potential collapse of the current regime	1
112	38	Defeat of the current regime is not certain, thus the increase in economic pressures may cause serious long-term hardships to the Iranian people	1
113	38	By weakening the government, economic pressures contribute to defections among security forces	1
114	38	Overall, on the path to democratic transition, the benefits of weakening Iran economically outweigh its disadvantages	1
115	35	If opposition forces where to agree on a transition charter (the period from now until free elections), which of the following principles should be included in that charter?	0
